1 inguid1: Waypoint/line guidance against GPS target coordinates ' Missile ' May 17 2021 03:43:47
  0  0 40
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
0.0711662       1.06837         0.0683909       2.13052         -1              
-1.7285         49.0072         2000            20110.9         0               
8               -1.67083        -16.762         -10.8109        29784.5         
0.698164        45.021          35.0043         1242.11         234.052         
59.3272         12.1121         479.444         1893.36         -242.109        
116.74          196.826         -49.1101        5               135.491         
223.862         10.2773         0               0               2.03893         
0               4.02288         -57.0703        -56.1742        -57.0703        
0.0654908       1.08084         0.0702126       2.00632         -1              
-1.70763        49.1101         2000            20006.3         0               
8.5             0.255716        -16.5116        -10.8084        29311.5         
0.693639        45.0221         35.0048         1266.73         232.556         
57.2423         12.2709         539.359         1990.31         -266.733        
122.958         191.104         -49.4262        4               135.49          
1803.63         10.2825         0               0               2.00377         
0               3.99398         -56.8233        -57.1596        -56.8233        
0.0621502       1.08294         0.0697082       1.93424         -1              
-1.68213        49.4262         2000            19901           0               
9               0.40301         -16.2806        -10.3902        29028.1         
0.691323        45.0231         35.0054         1291.54         231.725         
55.1755         12.4029         602.42          2084.54         -291.541        
129.242         185.785         -49.771         6               135.488         
1892.91         10.2753         0               0               1.96017         
0               3.92319         -57.5505        -58.4302        -57.5505        
0.0609439       1.08961         0.0684726       1.90722         -1              
-1.65862        49.771          2000            19794.8         0               
9.5             0.425393        -16.2293        -9.97493        28751.4         
0.689068        45.0241         35.006          1316.47         230.902         
53.1194         12.4803         668.563         2176.07         -316.467        
135.301         180.332         -49.8989        6               135.486         
1890.4          10.2736         0               0               1.93329         
0               3.90189         -58.5082        -59.2421        -58.5082        
0.0626889       1.09674         0.0681008       1.93404         -1              
-1.65341        49.8989         2000            19687.8         0               
10              0.424423        -16.3327        -9.80891        28476.7         
0.686815        45.0251         35.0066         1341.42         230.08          
51.0509         12.521          737.694         2264.84         -341.415        
141.195         174.679         -49.8807        6               135.483         
1887.87         10.2857         0               0               1.9334          
0               3.9513          -59.0379        -59.2389        -59.0379        
0.0648981       1.10393         0.0689631       1.96737         -1              
-1.66395        49.8807         2000            19580           0               
10.5            0.412779        -16.441         -9.86005        28202.4         
0.684542        45.026          35.0073         1366.34         229.251         
48.9594         12.5562         809.731         2350.71         -366.344        
146.925         168.776         -49.8385        6               135.481         
1885.35         10.3015         0               0               1.94537         
0               4.02877         -59.0316        -58.8745        -59.0316        
0.0657593       1.11121         0.0703154       1.97537         -1              
-1.675          49.8385         2000            19471.5         0               
11              0.405092        -16.4665        -9.95457        27928           
0.682242        45.0269         35.008          1391.26         228.414         
46.8511         12.6025         884.584         2433.57         -391.261        
152.448         162.631         -49.8366        6               135.479         
1882.82         10.313          0               0               1.95241         
0               4.09148         -58.8267        -58.6622        -58.8267        
0.0655074       1.11861         0.0714099       1.96404         -1              
-1.67761        49.8366         2000            19362.5         0               
11.5            0.40496         -16.4337        -9.98154        27653.9         
0.679923        45.0278         35.0087         1416.19         227.57          
44.7356         12.6572         962.138         2513.31         -416.186        
157.729         156.279         -49.8647        6               135.477         
1880.28         10.3211         0               0               1.95086         
0               4.13232         -58.7237        -58.7088        -58.7237        
0.0652017       1.1261          0.0721226       1.95272         -1              
-1.67428        49.8647         2000            19253.2         0               
12              0.407541        -16.4018        -9.94867        27380.6         
0.677589        45.0286         35.0094         1441.12         226.722         
42.6163         12.7115         1042.27         2589.82         -441.125        
162.757         149.748         -49.8883        6               135.474         
1877.74         10.3281         0               0               1.94624         
0               4.16714         -58.7692        -58.8482        -58.7692        
0.0654037       1.13369         0.0727303       1.95064         -1              
-1.67104        49.8883         2000            19143.6         0               
12.5            0.407937        -16.3981        -9.91187        27108.4         
0.675244        45.0294         35.0101         1466.07         225.871         
40.4909         12.7611         1124.85         2663.02         -466.071        
167.534         143.042         -49.8918        6               135.472         
1875.19         10.3349         0               0               1.94387         
0               4.20988         -58.8565        -58.92          -58.8565        
0.0659836       1.14137         0.0734762       1.95487         -1              
-1.67068        49.8918         2000            19034           0               
13              0.405278        -16.4131        -9.90354        26837           
0.672884        45.0302         35.0109         1491.01         225.015         
38.356          12.808          1209.76         2732.83         -491.014        
172.06          136.158         -49.8825        6               135.47          
1872.64         10.3412         0               0               1.9446          
0               4.26204         -58.8942        -58.8979        -58.8942        
0.0665682       1.14915         0.0743867       1.95883         -1              
-1.67222        49.8825         2000            18924.4         0               
13.5            0.401471        -16.4263        -9.91719        26566.2         
0.670506        45.0309         35.0117         1515.95         224.154         
36.2103         12.8558         1296.87         2799.15         -515.953        
176.326         129.1           -49.8739        6               135.468         
1870.08         10.3465         0               0               1.94633         
0               4.31752         -58.8757        -58.8456        -58.8757        
0.0669683       1.15703         0.0753549       1.95949         -1              
-1.67358        49.8739         2000            18815           0               
14              0.398173        -16.4291        -9.93193        26295.9         
0.668108        45.0316         35.0125         1540.89         223.287         
34.0548         12.9059         1386.04         2861.9          -540.889        
180.32          121.879         -49.8712        6               135.466         
1867.43         10.3507         0               0               1.94721         
0               4.37141         -58.8429        -58.8189        -58.8429        
0.0672489       1.16501         0.0762954       1.95815         -1              
-1.67388        49.8712         2000            18706           0               
14.5            0.395623        -16.4259        -9.93692        26026.3         
0.665693        45.0323         35.0133         1565.83         222.414         
31.8904         12.9577         1477.14         2921.01         -565.825        
184.034         114.508         -49.872         6               135.463         
1864.71         10.3541         0               0               1.94705         
0               4.42351         -58.8275        -58.8236        -58.8275        
0.0675489       1.17311         0.0772048       1.95713         -1              
-1.67356        49.872          2000            18597.5         0               
15              0.393146        -16.4239        -9.93515        25757.2         
0.663259        45.0329         35.0141         1590.76         221.535         
29.7172         13.0099         1570.03         2976.39         -590.761        
187.46          107             -49.8717        6               135.461         
1861.98         10.3566         0               0               1.94664         
0               4.4762          -58.83          -58.836         -58.83          
0.067929        1.18132         0.0781244       1.95733         -1              
-1.67337        49.8717         2000            18489.7         0               
15.5            0.39013         -16.4257        -9.93397        25488.8         
0.660807        45.0334         35.015          1615.7          220.65          
27.5349         13.0622         1664.55         3027.99         -615.696        
190.595         99.3649         -49.8688        6               135.459         
1859.24         10.3582         0               0               1.94659         
0               4.5312          -58.8354        -58.8375        -58.8354        
0.0683595       1.18964         0.0790844       1.9582          -1              
-1.67357        49.8688         2000            18382.8         0               
16              0.437494        -14.8623        -11.3465        25221.5         
0.658343        45.034          35.0158         1640.66         219.764         
25.4018         13.1756         1760.56         3075.75         -640.656        
193.292         91.7892         -50.0923        6               135.457         
1856.49         10.3735         0               0               1.89602         
0               4.37975         -51.3791        -39.7351        -51.3791        
0.0471018       1.19807         0.0764411       1.58708         -0.657799       
-1.51429        50.0923         2000            18276.8         0               
16.5            0.65898         -10.172         -12.6045        24963.8         
0.655989        45.0345         35.0167         1665.95         218.92          
23.7087         13.5229         1857.65         3120.01         -665.951        
194.887         85.5844         -51.1911        6               135.455         
