0	10	1	1	
0.001	9.91178	1.26763	1.00861	
0.002	9.8271	1.53256	1.01972	
0.003	9.74587	1.79486	1.03327	
0.004	9.66806	2.05462	1.04918	
0.005	9.59359	2.3119	1.06738	
0.006	9.5224	2.56678	1.08782	
0.007	9.45445	2.81933	1.11045	
0.008	9.38968	3.06962	1.13519	
0.009	9.32804	3.31772	1.16202	
0.01	9.26946	3.5637	1.19088	
0.011	9.2139	3.80762	1.22172	
0.012	9.16132	4.04957	1.25451	
0.013	9.11165	4.28959	1.28922	
0.014	9.06486	4.52777	1.3258	
0.015	9.02089	4.76416	1.36422	
0.016	8.97971	4.99882	1.40447	
0.017	8.94126	5.23182	1.4465	
0.018	8.90551	5.46322	1.4903	
0.019	8.8724	5.69308	1.53585	
0.02	8.84191	5.92145	1.58313	
0.021	8.81398	6.1484	1.63212	
0.022	8.78858	6.37399	1.6828	
0.023	8.76568	6.59826	1.73518	
0.024	8.74522	6.82127	1.78922	
0.025	8.72718	7.04307	1.84494	
0.026	8.71153	7.26372	1.90231	
0.027	8.69822	7.48326	1.96135	
0.028	8.68722	7.70175	2.02204	
0.029	8.6785	7.91922	2.08438	
0.03	8.67202	8.13574	2.14837	
0.031	8.66776	8.35134	2.21403	
0.032	8.66568	8.56607	2.28134	
0.033	8.66576	8.77996	2.35032	
0.034	8.66796	8.99307	2.42098	
0.035	8.67225	9.20542	2.49332	
0.036	8.67861	9.41707	2.56735	
0.037	8.68701	9.62804	2.64308	
0.038	8.69742	9.83838	2.72053	
0.039	8.70982	10.0481	2.79972	
0.04	8.72418	10.2573	2.88064	
0.041	8.74047	10.4659	2.96333	
0.042	8.75868	10.674	3.0478	
0.043	8.77877	10.8817	3.13406	
0.044	8.80073	11.0888	3.22214	
0.045	8.82453	11.2956	3.31206	
0.046	8.85014	11.502	3.40384	
0.047	8.87756	11.708	3.49751	
0.048	8.90675	11.9136	3.59308	
0.049	8.93769	12.1189	3.69057	
0.05	8.97036	12.3239	3.79003	
0.051	9.00475	12.5286	3.89147	
0.052	9.04083	12.7331	3.99492	
0.053	9.07859	12.9372	4.10041	
0.054	9.118	13.1411	4.20796	
0.055	9.15905	13.3448	4.31762	
0.056	9.20171	13.5483	4.4294	
0.057	9.24597	13.7515	4.54334	
0.058	9.29181	13.9545	4.65947	
0.059	9.33922	14.1573	4.77783	
0.06	9.38817	14.36	4.89844	
0.061	9.43865	14.5624	5.02134	
0.062	9.49064	14.7646	5.14657	
0.063	9.54412	14.9666	5.27415	
0.064	9.59909	15.1685	5.40414	
0.065	9.65551	15.3701	5.53655	
0.066	9.71337	15.5715	5.67143	
0.067	9.77266	15.7727	5.80882	
0.068	9.83337	15.9737	5.94875	
0.069	9.89547	16.1745	6.09126	
0.07	9.95894	16.375	6.23638	
0.071	10.0238	16.5752	6.38416	
0.072	10.09	16.7751	6.53464	
0.073	10.1575	16.9748	6.68785	
0.074	10.2263	17.1741	6.84382	
0.075	10.2964	17.3731	7.00261	
0.076	10.3678	17.5718	7.16425	
