0	10	0.5
0.01	10.004	0.303757
0.055	9.99781	-0.579516
0.171173	9.79871	-2.84064
0.301276	9.26891	-5.28101
0.445207	8.32622	-7.77383
0.600418	6.93313	-10.1064
0.765989	5.08914	-12.068
0.942287	2.82875	-13.4443
1.09543	0.720705	-13.9797
1.24858	-1.42038	-13.8741
1.40173	-3.49636	-13.1326
1.55488	-5.41206	-11.7891
1.70802	-7.07966	-9.90511
1.87391	-8.51776	-7.35543
2.0503	-9.54338	-4.21407
2.20281	-9.96426	-1.28437
2.35532	-9.93216	1.70372
2.50783	-9.44855	4.61435
2.66034	-8.53539	7.31521
2.81284	-7.23422	9.68353
2.97647	-5.47443	11.7324
3.15062	-3.28927	13.2372
3.32478	-0.909342	13.9581
3.45924	0.972488	13.9497
3.59826	2.88118	13.4225
3.73729	4.68097	12.3879
3.88868	6.43756	10.7303
4.05052	7.99457	8.42925
4.22264	9.20019	5.51172
4.39476	9.87362	2.27537
4.53487	10.0009	-0.465073
4.67497	9.74414	-3.18766
4.81508	9.11335	-5.78787
4.96139	8.0817	-8.26461
5.11873	6.59642	-10.5393
5.28639	4.66447	-12.4001
5.46504	2.32706	-13.6318
5.61225	0.285204	-14.0104
5.75946	-1.76874	-13.7953
5.90667	-3.74774	-12.9959
6.05388	-5.56796	-11.6457
6.21053	-7.2441	-9.669
6.37741	-8.646	-7.05573
6.55498	-9.61996	-3.85732
6.70442	-9.98222	-0.972997
6.85387	-9.90866	1.9538
7.00331	-9.4025	4.7953
7.15276	-8.48584	7.42745
7.3022	-7.19869	9.73531
7.46615	-5.4276	11.775
7.64057	-3.23306	13.2643
7.81498	-0.846522	13.9658
7.94866	1.0243	13.9424
8.08711	2.92339	13.4045
8.22557	4.71287	12.3641
8.37716	6.46732	10.6952
8.53917	8.01943	8.38277
8.71149	9.21744	5.45486
8.8838	9.8811	2.21073
9.02333	9.99948	-0.519286
9.16287	9.7371	-3.22953
9.3024	9.10395	-5.81679
9.44885	8.06715	-8.29244
9.60631	6.5766	-10.5636
9.77409	4.63967	-12.4183
9.95287	2.29794	-13.6414
10.0997	0.260083	-14.0113
10.2466	-1.78875	-13.7903
10.3935	-3.76214	-12.9877
10.5404	-5.57687	-11.6374
10.6971	-7.25206	-9.65727
10.864	-8.65217	-7.04086
11.0416	-9.62355	-3.83967
11.1909	-9.98296	-0.957644
11.3402	-9.90741	1.96611
11.4895	-9.40018	4.8042
11.6388	-8.48337	7.43296
11.7881	-7.19693	9.73786
11.9521	-5.42527	11.7771
12.1265	-3.23028	13.2656
12.3009	-0.843415	13.9662
12.4345	1.02686	13.942
12.573	2.92547	13.4036
12.7114	4.71444	12.3629
12.863	6.46878	10.6934
13.025	8.02064	8.38047
13.1973	9.21828	5.45205
13.3697	9.88145	2.20754
13.5092	9.9994	-0.521955
13.6487	9.73674	-3.23158
13.7882	9.10348	-5.81821
13.9346	8.06642	-8.2938
14.0921	6.57562	-10.5648
14.2599	4.63844	-12.4192
14.4387	2.29651	-13.6419
14.5855	0.258846	-14.0113
14.7324	-1.78973	-13.79
14.8792	-3.76284	-12.9873
15.0261	-5.57731	-11.6369
15.1828	-7.25245	-9.65669
15.3497	-8.65247	-7.04012
15.5274	-9.62372	-3.8388
15.6766	-9.98299	-0.956887
15.8259	-9.90734	1.96671
15.9752	-9.40005	4.80463
16.1245	-8.48324	7.43322
16.2738	-7.19683	9.73797
16.4378	-5.42515	11.7772
16.6122	-3.23014	13.2657
16.7866	-0.843261	13.9662
16.9203	1.02699	13.942
17.0587	2.92557	13.4036
17.1971	4.71451	12.3628
17.3487	6.46885	10.6933
17.5107	8.02069	8.38035
17.6831	9.21831	5.45191
17.8554	9.88146	2.20738
17.9949	9.99939	-0.522087
18.1344	9.73672	-3.23168
18.2739	9.10345	-5.81828
18.4203	8.06638	-8.29386
18.5778	6.57556	-10.5648
18.7456	4.63838	-12.4192
18.9244	2.29643	-13.6419
19.0712	0.258784	-14.0113
19.2181	-1.78978	-13.79
19.3649	-3.76288	-12.9872
19.5118	-5.57732	-11.6369
19.6685	-7.25246	-9.65665
19.8354	-8.65248	-7.04007
20.0131	-9.62372	-3.83875
20.1624	-9.98298	-0.956848
